Title,Platform,Date of release,Genre,Rating,Amount of ratings
EUROPA UNIVERSALIS III: HEIR TO THE THRONE,PC,12/2009,,0.86,
DESPERADOS III,PC,06/2020,Strategy,0.86,702
"WARHAMMER 40,000: DAWN OF WAR",PC,09/2004,Strategy,0.86,450
CLASH ROYALE,iOS,03/2016,,0.86,
COMMAND & CONQUER: RED ALERT 2 - YURI'S REVENGE,PC,10/2001,Strategy,0.86,338
HEROES OF THE STORM,PC,06/2015,Action,0.86,1564
DOOR KICKERS,iOS,06/2015,,0.86,
PLANTS VS. ZOMBIES HEROES,iOS,10/2016,Real-Time,0.86,45
TOTAL WAR: WARHAMMER III,PC,02/2022,Strategy,0.85,311
PLANTS VS. ZOMBIES,PlayStation 3,02/2011,Strategy,0.85,85
AUTUMN DYNASTY,iOS,05/2012,Action,0.85,16
CRUSADER KINGS III,PlayStation 5,03/2022,Strategy,0.85,30
"WARHAMMER 40,000: DAWN OF WAR II",PC,02/2009,,0.85,
BATTLERITE,PC,11/2017,Strategy,0.85,121
COMMAND & CONQUER 3: TIBERIUM WARS,PC,03/2007,Strategy,0.85,545
TROPICO,PC,04/2001,Strategy,0.85,134
SHADOW TACTICS: BLADES OF THE SHOGUN,PC,12/2016,Strategy,0.85,397
MEDIEVAL II: TOTAL WAR KINGDOMS,PC,08/2007,Strategy,0.85,227
AIRSTRIKE DEFENSE,iOS,02/2010,,0.85,
KINGDOM RUSH FRONTIERS,iOS,06/2013,,0.85,
CASTLESTORM: FREE TO SIEGE,iOS,05/2014,,0.85,
UNSTOPPABLE GORG,iOS,01/2012,,0.85,
PIKMIN 3 DELUXE,Switch,10/2020,Strategy,0.85,207
TOTAL WAR: THREE KINGDOMS,PC,05/2019,Strategy,0.85,394
SHADOW TACTICS: BLADES OF THE SHOGUN,Xbox One,08/2017,Strategy,0.85,42
"WARHAMMER 40,000: DAWN OF WAR - WINTER ASSAULT",PC,09/2005,Strategy,0.85,175
