ID,Title,Platform,Date of release,Genre,Rating,Amount of ratings,Rating Score
83,SHOGUN: TOTAL WAR WARLORD EDITION,PC,2001-08-01,Strategy,0.85,,0.37418492682694304
84,FIELDRUNNERS 2,iOS,2012-07-01,Action,0.85,,0.340934485881811
85,LEAGUE OF LEGENDS: WILD RIFT,iOS,2020-10-01,Strategy,0.85,,0.33789061382740393
86,War Selection,PC,2019-10-01,Strategy,0.85,394.0,0.3367670379610062
87,CRUSADER KINGS II: THE OLD GODS,PC,2013-05-01,Strategy,0.85,42.0,0.3321573737149034
88,"WARHAMMER 40,000: DAWN OF WAR - DARK CRUSADE",PC,2006-10-01,Strategy,0.85,175.0,0.3270686285414649
89,FTL: FASTER THAN LIGHT,iOS,2014-04-01,Simulation,0.97,31442.0,0.3212732588626001
90,STARCRAFT II: LEGACY OF THE VOID,PC,2015-11-01,Sci-Fi,0.96,97077.0,0.32047796863330863
91,Dawn of Man,PC,2019-03-01,City Builder,0.95,121040.0,0.31768833521364
92,SINS OF A SOLAR EMPIRE,PC,2008-02-01,Strategy,0.95,67650.0,0.3063332432904836
93,PLANTS VS. ZOMBIES,PC,2009-05-01,Strategy,0.97,11592.0,0.3052157055916611
94,Starship Troopers: Terran Command,PC,2022-06-01,Strategy,0.96,14277.0,0.30178141833378375
95,COMMAND & CONQUER: RED ALERT 2 - YURI'S REVENGE,PC,2001-10-01,Strategy,0.97,6428.0,0.2995919469912447
96,LITTLE KING'S STORY,Wii,2009-07-01,Strategy,0.96,14235.0,0.2945815390971352
97,Battle Realms: Zen Edition,PC,2019-12-01,Strategy,0.97,3573.0,0.29220281887086286
98,Ultimate Epic Battle Simulator 2,PC,2022-05-01,Simulation,0.94,24939.0,0.26782975545421345
99,EUROPA UNIVERSALIS IV,PC,2013-08-01,Strategy,0.95,10042.0,0.2655462158168212
100,Command & Conquer: Red Alert 3,PC,2008-10-01,Strategy,0.97,4272.0,0.2485498863871101
101,Istrolid,PC,2016-05-01,Strategy,0.94,17241.0,0.24521363990275385
102,SUPREME COMMANDER,PC,2007-02-01,Strategy,0.96,4825.0,0.23967457454753474
103,TROPICO,PC,2001-04-01,Strategy,0.95,8702.0,0.22098326791985126
104,TOTAL WAR: WARHAMMER II,PC,2017-09-01,Strategy,0.95,8184.0,0.21850634802091123
105,War for the Overworld,PC,2015-04-01,Strategy,0.94,12383.0,0.2159439403810402
106,Natural Selection 2,PC,2012-10-01,Strategy,0.95,9324.0,0.2143833918611857
107,ORCS MUST DIE! UNCHAINED,PC,2017-04-01,Action,0.96,3344.0,0.214077511003766
108,STARCRAFT II: HEART OF THE SWARM,PC,2013-03-01,Strategy,0.96,3501.0,0.19030047828643165
109,ANOMALY KOREA,iOS,2012-12-01,Strategy,0.92,54685.0,0.18694786518996398
110,"WARHAMMER 40,000: DAWN OF WAR - WINTER ASSAULT",PC,2005-09-01,Strategy,0.93,17410.0,0.18132204090064036
111,ANOMALY 2,iOS,2013-10-01,Action,0.93,14861.0,0.176923076923077
112,HEROES OF THE STORM,PC,2015-06-01,Action,0.92,17140.0,0.16972208539240152
113,COMMAND & CONQUER 3: TIBERIUM WARS,PC,2007-03-01,Strategy,0.93,5650.0,0.1643792604833712
114,MEDIEVAL II: TOTAL WAR KINGDOMS,PC,2007-08-01,Strategy,0.95,1481.0,0.16175170419334847
115,PLANTS VS. ZOMBIES HEROES,iOS,2016-10-01,Real-Time,0.95,1774.0,0.14717095959194704
116,PLANTS VS. ZOMBIES,PlayStation 3,2011-02-01,Strategy,0.93,3405.0,0.12057839289403015
117,DESPERADOS III,PC,2020-06-01,Strategy,0.93,2107.0,0.11259959004020154
118,AUTUMN DYNASTY,iOS,2012-05-01,Action,0.94,1344.0,0.110008262755629
119,SHADOW TACTICS: BLADES OF THE SHOGUN,PC,2016-12-01,Strategy,0.9,14234.0,0.07315637265027887
120,BATTLERITE,PC,2017-11-01,Strategy,0.93,2177.0,0.06087585209667424
121,SHADOW TACTICS: BLADES OF THE SHOGUN,Xbox One,2017-08-01,Strategy,0.92,2286.0,0.060223094401983056
122,TOTAL WAR: THREE KINGDOMS,PC,2019-05-01,Strategy,0.88,53077.0,0.04313158438339186
123,TOTAL WAR: WARHAMMER III,PC,2022-02-01,Strategy,0.94,742.0,0.012445775666184673
124,CRUSADER KINGS III,PlayStation 5,2022-03-01,Strategy,0.93,1056.0,0.010123941334435034
