Title,Platform,Date of release,Genre,Rating,Amount of ratings
Commandos: Behind Enemy Lines,PC,08/1998,Strategy,0.89,3198
Blitzkrieg Anthology,PC,03/2003,Strategy,0.91,1226
112 Operator,PC,04/2020,Simulation,0.89,4560
Clanfolk,PC,07/2022,City Builder,0.9,1689
Darkest Hour: A Hearts of Iron Game,PC,04/2011,Strategy,0.9,1864
Sacrifice,PC,11/2000,Strategy,0.92,557
Praetorians - HD Remaster,PC,01/2020,Strategy,0.91,761
Screeps: World,PC,11/2016,Programming,0.9,1671
Warpips,PC,04/2022,Strategy,0.89,3404
War Selection,PC,10/2019,Strategy,0.87,17312
Men of War: Assault Squad,PC,02/2011,Strategy,0.88,4461
三国：争霸天下,PC,,Strategy,0.96,132
Circle Empires Rivals,PC,04/2020,Tactical,0.9,1483
Supreme Commander,PC,02/2007,Strategy,0.89,2485
"Warhammer® 40,000: Dawn of War® – Winter Assault",PC,01/2006,Strategy,0.89,1750
Dawn of Man,PC,03/2019,City Builder,0.87,15003
Cannon Brawl,PC,09/2014,Local Multiplayer,0.91,776
Warzone 2100,PC,04/1999,Strategy,0.9,1174
Stronghold 2: Steam Edition,PC,,City Builder,0.88,4134
Touhou Monster TD ~ 幻想乡妖怪塔防,PC,10/2021,RPG,0.91,743
Crustacean Nations,PC,08/2022,Strategy,0.94,263
It Stares Back,PC,06/2019,Strategy,0.98,86
Space Raiders in Space,PC,12/2020,Strategy,0.96,113
Atom Zombie Smasher,PC,03/2011,Real Time Tactics,0.89,1908
Cossacks: Back to War,PC,11/2002,Strategy,0.89,2291
Epic Fantasy Battle Simulator,PC,08/2021,Action,0.93,311
Ultimate Epic Battle Simulator 2,PC,05/2022,Simulation,0.88,3290
CastleStorm,PC,07/2013,Funny,0.89,1502
Wargame: Airland Battle,PC,05/2013,Strategy,0.88,4270
Burger Joint,PC,10/2020,Strategy,1.0,51
Spellsworn,PC,03/2018,Magic,0.89,1351
Unholy Heights,PC,08/2013,Immersive Sim,0.89,1511
Kohan II: Kings of War,PC,09/2004,Strategy,0.94,210
Grim Nights,PC,10/2018,Strategy,0.89,1308
They Are Billions,PC,06/2019,Base Building,0.85,42561
Battle Realms: Zen Edition,PC,12/2019,Strategy,0.88,2609
Vedelem: The Golden Horde,PC,06/2021,Strategy,0.9,695
Startopia,PC,06/2001,Simulation,0.9,878
Eufloria HD,PC,10/2014,Strategy,0.9,686
AI War 2,PC,10/2019,Strategy,0.89,1360
SpellForce 3: Fallen God,PC,11/2020,RPG,0.89,1209
Tzar: The Burden of the Crown,PC,01/2000,Strategy,0.92,379
Byte Lynx,PC,10/2022,Strategy,0.98,59
IRON GUARD VR,PC,09/2021,Tower Defense,0.96,84
Worbital,PC,01/2019,Action RTS,0.91,387
DEFCON,PC,09/2006,Strategy,0.87,3699
Giants: Citizen Kabuto,PC,12/2000,Action,0.94,139
Istrolid,PC,05/2016,Strategy,0.87,2601
cat and rat,PC,11/2022,Casual,0.94,149
Anomaly: Warzone Earth,PC,04/2011,Strategy,0.87,4241
Yokai Art: Night Parade of One Hundred Demons,PC,09/2022,Roguelite,0.9,576
Breakout 13,PC,01/2023,Exploration,0.87,4720
Battlezone: Combat Commander,PC,03/2018,Strategy,0.9,722
Natural Selection 2,PC,10/2012,Strategy,0.85,12648
War for the Overworld,PC,04/2015,Strategy,0.86,7158
Command & Conquer: Red Alert 3,PC,10/2008,Strategy,0.85,11942
